provider,file_stem,EDITORA,PROGRAMA,NÚMERO PROGRAMA,EXIBIÇÃO (GRAVADO OU REPRISE),"CATEGORIA DO PROGRAMA (PROGRAMA, NOVELA)",DATA DE EXIBIÇÃO,NOME DA MÚSICA,AUTOR,INTERPRETE,TIPO DE SINCRONIZAÇÃO,PERCENTUAL A PAGAR - EDITORA,VALOR A PAGAR - EDITORA,__title_norm,__author_norm,__is_match,__sheet
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),786,REPRISE,PROGRAMA,28/01/2024,FELICIDADE,GABRIEL DE MOURA PASSOS / ANGELO VITOR SIMPLICIO DA SILVA / JORGE MARIO DA SILVA / JORGE LEANDRO PEREIRA DA SILVA,DJMIRORIZZO,FUNDO MUSICAL,25.00%,195.48,felicidade,djmirorizzo,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIVERSAS,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,5.82%,22.75,deja vu,lili bey,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,ABRAMUS DIGITAL SERV. IDENT. REPERTÓRIO,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,5.84%,22.83,deja vu,lili bey,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,DEJA VU,BEYONCE / RODNEY JERKINS / MAKEBA RIDDICK / JON WEBB / SHAWN CARTER / KELI PRICE / DELISHA THOMAS,LILI BEY,PERFORMANCE,88.34%,345.37,deja vu,lili bey,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,LISTEN,ANNE PREVEN / BEYONCE / HENRY KRIEGER / SCOTT MICHAEL CUTLER,LILI BEY,PERFORMANCE,75.86%,296.58,listen,lili bey,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,ELIANA (REPRISE),749,REPRISE,PROGRAMA,28/01/2024,LISTEN,ANNE PREVEN / BEYONCE / HENRY KRIEGER / SCOTT MICHAEL CUTLER,LILI BEY,PERFORMANCE,24.14%,94.38,listen,lili bey,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),789,REPRISE,PROGRAMA,14/01/2024,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,BALÉ PROGRAMA SILVIO SANTOS,PERFORMANCE,75.00%,293.22,brisa,bale programa silvio santos,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),789,REPRISE,PROGRAMA,14/01/2024,BRISA,IZA / PABLO LUIZ BISPO / RUXELL / SERGIO SANTOS,BALÉ PROGRAMA SILVIO SANTOS,PERFORMANCE,25.00%,97.74,brisa,bale programa silvio santos,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),798,REPRISE,PROGRAMA,14/01/2024,SÓ VOCÊ,VINICIUS CANTUARIA,FABIO JUNIOR,FUNDO MUSICAL,100.00%,781.92,so voce,fabio junior,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,BMG RIGHTS MANAGEMENT BRASIL LTDA,THE NOITE (REPRISE),2495,REPRISE,PROGRAMA,17/01/2024,FLY AWAY,LENY KRAVITZ,ULTRAJE A RIGOR,PERFORMANCE,100.00%,390.96,fly away,ultraje a rigor,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,UNIVERSAL MUSIC PUBLISHING MGB BRASIL LTDA,PROGRAMA RAUL GIL (REPRISE),688,REPRISE,PROGRAMA,06/01/2024,ERA UMA VEZ,KELL SMITH,LARA E KELL SMITH,PERFORMANCE,100.00%,390.96,era uma vez,lara e kell smith,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,SONY MUSIC PUBLISHING (BRASIL) EDIÇÕES MUSICAIS LTDA,PROGRAMA DO RATINHO (REPRISE),3471,REPRISE,PROGRAMA,12/01/2024,ESSE CARA SOU EU,ROBERTO CARLOS,FABIANO JUFFU,PERFORMANCE,100.00%,390.96,esse cara sou eu,fabiano juffu,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,THIAGO ABDULAHAD NUNES RIOS ME,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,33.33%,130.31,malvada,lucas guedez,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,WARNER CHAPPELL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),806,REPRISE,PROGRAMA,28/01/2024,MALVADA,RIVALDO SOARES / SHYLTON FERNANDES / BRENO LIMA,LUCAS GUEDEZ,PERFORMANCE,66.67%,260.65,malvada,lucas guedez,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,DIVERSAS,DOMINGO LEGAL,1566,GRAVADO,PROGRAMA,14/01/2024,DEIXE QUEIMAR,Henrique Mendonça / Henrique Mendonça,HENRIQUE MENDONÇA,FUNDO MUSICAL,100.00%,1673.31,deixe queimar,henrique mendonca,True,Relatório Solicitação
SBT,Unificado SBT nov dez 23 e jan fev mar 24,PEERMUSIC DO BRASIL EDIÇÕES MUSICAIS LTDA,PROGRAMA SILVIO SANTOS (REPRISE),791,REPRISE,PROGRAMA,21/01/2024,BALMAIN,MC DANIEL / VINICIUS DOS SANTOS LESSA,MC DANIEL,PERFORMANCE,100.00%,390.96,balmain,mc daniel,True,Relatório Solicitação
Canal Brasil,Ubem_CanalBrasil_Fev24 (1),Mídia,Canal,Data,Gênero,Programa,Episódio Nr.,Título da Obra,Autor(es),Intérprete(s),Editora(s),Tipo de Sincronização,Acervo Sim ou Não,Data da 1ª Exibição (apenas para conferência),Exibição,midia,,True,CanalBrasil_Fevereiro24
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,01/10/2023,18:10:55,108,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,6,PESCADOR,MUSICA COMERCIAL,ARMANDINHO,ARMANDINHO,15,BK,,UNIVERSAL MGB,ATRAÇÃO,,,pescador,armandinho,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,01/10/2023,18:10:55,108,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,98,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",VALESCA POPOZUDA,98,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",BERGER MOBILE,,,beijinho no ombro,valesca popozuda,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,FANTASTICO,FANTÁSTICO,01/10/2023,20:29:58,2606,,,,GLOBO,2023.0,ALI KAMEL,236,DOMINGO,MUSICA COMERCIAL,"ALEXANDRE PIRES,FERNANDO PIRES,RENATO,VADINHO",SÓ PRA CONTRARIAR,44,PE,,"NOSSA MUSICA,NOSSA MUSICA,UNIVERSAL MGB,UNIVERSAL MGB",,,,domingo,so pra contrariar,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,29,MORENA,MUSICA COMERCIAL,"BRUNO MARTINI,VITOR KLEY","JOAO TERRA,FABINHO K,ALLEX REIS",167,PE,,"UNIVERSAL MGB,UNIVERSAL MGB",,,,morena,"joao terra,fabinho k,allex reis",True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,62,ME PERDOA,MUSICA COMERCIAL,"BRUNO GABRIEL,FERRUGEM,THIAGUINHO",ALLEX REIS,100,PE,,"WARNER CHAPPELL,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,me perdoa,allex reis,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,PIPOCA DA IVETE 2023,PIPOCA DA IVETE,01/10/2023,14:20:03,3,,,,GLOBO,202.0,DIREÇÃO ARTÍSTICA DE CRESO EDUARDO MACEDO E DIREÇÃO DE GÊNERO DE BONINHO,82,FLY AWAY,MUSICA COMERCIAL,LENNY KRAVITZ,YOHAN KISSER,100,PE,,BMG,,,,fly away,yohan kisser,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,TO INDO,,01/10/2023,06:49:46,01102023,,,,GLOBO,,,19,SAUDADE,MUSICA COMERCIAL,"TIAO CARREIRO,ZE MATAO",ANONIMOS,30,PE,,"LATINO,LATINO",,,,saudade,anonimos,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,MAIS VOCE,MAIS VOCÊ,03/10/2023,10:37:15,5917,,,,GLOBO,2023.0,VIVI DE MARCO,57,WITH OR WITHOUT YOU,MUSICA COMERCIAL,"ADAM CLAYTON,DAVE EVANS,LARRY MULLEN,PAUL HEWSON",U2,82,BK,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",UNIVERSAL MUSIC,,,with or without you,u2,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,ENCONTRO,,04/10/2023,09:30:00,2893,,,,GLOBO,,,52,FETICHE,MUSICA COMERCIAL,ACHO ESTOL,MARIANA MAZU.,6,BK,,A DESCOBRIR,,,,fetiche,mariana mazu.,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,ENCONTRO,,05/10/2023,09:31:07,2894,,,,GLOBO,,,18,RECOMECAR,MUSICA COMERCIAL,"KOBA,PE LANZA,PE LU,THOMAS",RESTART,60,PE,,"MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS",,,,recomecar,restart,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,ENCONTRO,,05/10/2023,09:31:07,2894,,,,GLOBO,,,19,RECOMECAR,MUSICA COMERCIAL,"KOBA,PE LANZA,PE LU,THOMAS",RESTART,22,TE,,"MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS,MAYNARD SONGS",,,,recomecar,restart,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,E DE CASA,É DE CASA,07/10/2023,06:49:59,425,,E DE CASA,,GLOBO,2023.0,,113,PRAIA,MUSICA COMERCIAL,"FELIPE ARNA,RENATO CAMPERO,ROBISON JF",MURILO HUFF,62,DM,,"R3 PRODUÇÕES,R3 PRODUÇÕES,R3 PRODUÇÕES",,,,praia,murilo huff,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,SOM BRASIL,,11/10/2023,23:19:34,11102023,,ALCIONE,,GLOBO,,,14,ALVORADA,MUSICA COMERCIAL,"CARLOS CACHACA,CARTOLA,HERMINIO BELLO DE CARVALHO","IVONE LARA,ALCIONE,HELTON MEDEIROS,CARTOLA",158,DM,,"PEERMUSIC,PEERMUSIC,PEERMUSIC",,,,alvorada,"ivone lara,alcione,helton medeiros,cartola",True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,SOM BRASIL,,11/10/2023,23:19:34,11102023,,ALCIONE,,GLOBO,,,21,PACIENCIA,MUSICA COMERCIAL,EDNA SO,"ALCIONE,FERRUGEM",3,DM,,SONY MUSIC PUBLISHING,,,,paciencia,"alcione,ferrugem",True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,13/10/2023,02:28:04,CHA DAS FADAS,,4ª TEMPORADA,,GLOBO,,,29,VINGANCA,MUSICA COMERCIAL,LUPICINIO RODRIGUES,LINDA BATISTA,25,BK,,VITALE,,,,vinganca,linda batista,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,TOMORROWLAND BRASIL 2023,TOMORROWLAND BRASIL 2023,14/10/2023,00:10:31,14102023,,MELHORES MOMENTOS,,GLOBO,2023.0,,9,AURORA,MUSICA COMERCIAL,"MARTIJN GARRITSEN,MATEUSZ OWSIAK",MARTIN GARRIX,63,PE,,"A DESCOBRIR,A DESCOBRIR",,,,aurora,martin garrix,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,5,VAMOS ACORDAR,MUSICA COMERCIAL,JAIR OLIVEIRA,GRANDES PEQUENINOS,16,BK,,A DESCOBRIR,S DE SAMBA EDITORA LTDA,,,vamos acordar,grandes pequeninos,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,6,FORA DOS STORIES,MUSICA COMERCIAL,"BRENNO CASAGRANDE,LUCAS MACENNA,SAYMON MARQUES,SHYLTON FERNANDES",MARI FERNANDEZ,15,BK,,"WARNER CHAPPELL,SONY MUSIC PUBLISHING,WARNER CHAPPELL,WARNER CHAPPELL",SONY MUSIC,,,fora dos stories,mari fernandez,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,143,DESAFIO,MUSICA COMERCIAL,"DULLER,F ALCANTARA,TONHO,XANDY",HARMONIA,2,BK,,"UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB,UNIVERSAL MGB",SONY MUSIC,,,desafio,harmonia,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,145,SOCADONA,MUSICA COMERCIAL,"CAROLINA COLÓN JUARBE,CLIFFORD RAY SMITH,HELDER VILAS BOAS,JEFFERSON JUNIOR,JEFFERSON JUNIOR,JUAN JOSÉ BRITO,LUDMILLA,MARIAH ANGELIQUE PEREZ,UMBERTO TAVARES",LUDMILLA,5,BK,,"ROCKING GORILLAS,ROCKING GORILLAS,A DESCOBRIR,BMG,ORB MUSIC,WARNER CHAPPELL,WARNER CHAPPELL,UNIVERSAL MGB,ORB MUSIC",WM BRAZIL,,,socadona,ludmilla,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,DOMINGAO COM HUCK,DOMINGÃO COM HUCK,15/10/2023,18:05:53,110,,,,GLOBO,2021.0,DIREÇÃO ARTÍSTICA DE HÉLIO VARGAS E DIREÇÃO GERAL DE CLARISSA LOPES.,150,BEIJINHO NO OMBRO,MUSICA COMERCIAL,"ANDRE VIEIRA,ANDRE VIEIRA,DENNIS DJ,PARDAL,WALLACE VIANA,WALLACE VIANA",VALESCA POPOZUDA,1,BK,,"UNIVERSAL MGB,WARNER CHAPPELL,SONY MUSIC PUBLISHING,ADDAF,UNIVERSAL MGB,WARNER CHAPPELL",BERGER MOBILE,,,beijinho no ombro,valesca popozuda,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,O MELHOR DA RESENHA,,15/10/2023,23:38:31,15102023,,DF,,GLOBO,,,9,LABIRINTO,MUSICA COMERCIAL,MARCO AURELIO,VITOR E CADU,24,PE,,EDITORA PE DE VERSO,,,,labirinto,vitor e cadu,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,O MELHOR DA RESENHA,,15/10/2023,23:38:31,15102023,,DF,,GLOBO,,,10,LABIRINTO,MUSICA COMERCIAL,MARCO AURELIO,VITOR E CADU,60,PE,,EDITORA PE DE VERSO,,,,labirinto,vitor e cadu,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,16/10/2023,03:28:09,O MEIER CONTRA ATACA,,4ª TEMPORADA,,GLOBO,,,4,CRIMINAL,MUSICA COMERCIAL,"MAX MARTIN,SHELLBACK,TIFFANY AMBER",BRITNEY SPEARS,77,BK,,"ABRAMUS,ABRAMUS,UNIVERSAL MGB",,,,criminal,britney spears,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,17/10/2023,02:43:36,MERCADO PARARELO,,4ª TEMPORADA,,GLOBO,,,2,BAILE DE FAVELA,MUSICA COMERCIAL,MC JOAO,MC JOAO,42,BK,,SONY MUSIC PUBLISHING,,,,baile de favela,mc joao,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,17/10/2023,02:43:36,MERCADO PARARELO,,4ª TEMPORADA,,GLOBO,,,10,MALANDRAMENTE,MUSICA COMERCIAL,MC NANDINHO,ELENCO VAI QUE COLA,10,PE,,SONY MUSIC PUBLISHING,,,,malandramente,elenco vai que cola,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,CONVERSA COM BIAL,CONVERSA COM BIAL,20/10/2023,01:02:26,1266,,,,GLOBO,2023.0,MONICA ALMEIDA,7,MEU BEM,MUSICA COMERCIAL,"JOHN LENNON,PAUL MCCARTNEY,RONNIE VON",WANDERLEA,3,PE,,"SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING,SONY MUSIC PUBLISHING",,,,meu bem,wanderlea,True,MusicCueSheet_TvAberta_Out23
Globo,MusicCueSheet_TvAberta_Outubro2023,VAI QUE COLA,,20/10/2023,02:29:23,QUE PAIS E ESSE,,4ª TEMPORADA,,GLOBO,,,4,CRIMINAL,MUSICA COMERCIAL,"MAX MARTIN,SHELLBACK,TIFFANY AMBER",BRITNEY SPEARS,21,BK,,"ABRAMUS,ABRAMUS,UNIVERSAL MGB",,,,criminal,britney spears,True,MusicCueSheet_TvAberta_Out23
