file,last_commit_date,last_commit_sha,last_message
Estelita/Processed/CanalBrasil unificado Jan fev mar24 dez 2023__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Clipes Unificados_nov Dez 2023__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Fornecedores_Amounts_Presence.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Fornecedores_ByProvider_Summary.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Fornecedores_Summary.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Globo Unificado nov dez2023__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/MusicCueSheet_TvAberta_Agosto2023__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/MusicCueSheet_TvAberta_Outubro2023__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Normalized/_missing_sheets.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/SBT Unificado  nov dez 23 e jan fev mar 24__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Summaries/Explicit_Matches_All.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Summaries/Fornecedores_ByProvider_Summary.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Summaries/Fornecedores_Summary.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Summaries/Unified_Explicit_Summary.csv,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Tv Aparecida Unificado  Dez 2023 jan mar 2024__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Ubem_MusicCueSheet_OriginaisGloboplay_Janeiro24__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Ubem_MusicCueSheet_OriginaisGloboplay_Novembro23__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Unificado SBT nov dez 23 e jan fev mar 24__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/band UNIFICADO out dez 2023 jan fev 2024__eligible_with_refs.xlsx,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/build_explicit_counts_by_sheet.py,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
README.md,2025-11-07 20:01:59 -0300,b87ab57c15ca02093d5a4dd5413c8d28bd6f9d4e,"Docs: add Highlight Findings with current performance metrics; commit refreshed eligible workbooks and summaries; add per-sheet explicit counts"
Estelita/Processed/Summaries/Explicit_Matches_Exact.csv,2025-11-07 19:40:52 -0300,99ef6a850d76f70b541b1fc1fa15efef8bc684f8,"Explicit: add exact subset CSV (uncertain==False OR ISWC present OR catalog basis); regenerate"
Estelita/build_definitive_explicit_csv.py,2025-11-07 19:40:52 -0300,99ef6a850d76f70b541b1fc1fa15efef8bc684f8,"Explicit: add exact subset CSV (uncertain==False OR ISWC present OR catalog basis); regenerate"
Estelita/Processed/Alias_Without_Value_All_Providers.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/CanalBrasil unificado Jan fev mar24 dez 2023__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/CanalBrasil unificado Jan fev mar24 dez 2023__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Clipes Unificados_nov Dez 2023__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Clipes Unificados_nov Dez 2023__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Eligible_Value_Alias_All_Providers.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Eligible_Value_Explicit_All_Providers.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Explicit_Without_Value_All_Providers.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Fornecedores_Run_Summary.tsv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Globo MusicCueSheet meses 08 10 11 de 2023 e 01 de 2024__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Globo Unificado nov dez2023__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Globo Unificado nov dez2023__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/MusicCueSheet_TvAberta_Agosto2023__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/MusicCueSheet_TvAberta_Agosto2023__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/MusicCueSheet_TvAberta_Outubro2023__eligible_alias.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/MusicCueSheet_TvAberta_Outubro2023__eligible_explicit.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/01-JAN2024-SINCRONIZACAO MUSICAL-TV APARECIDA__Sincroniza_o_Musical__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/03-MAR2024-SINCRONIZACAO MUSICAL-TV APARECIDA__Sincroniza_o_Musical__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/12-DEZ2023-SINCRONIZACAO MUSICAL-TV APARECIDA__Sincroniza_o_Musical__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/CanalBrasil_Dezembro2023__CanalBrasil_Dezembro2023__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/CanalBrasil_Novembro2023__CanalBrasil_Novembro2023__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/CanalInternacional_Dezembro2023__CanalInternacional_Dezembro2023__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/CanalInternacional_Novembro2023__CanalInternacional_Novembro2023__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
Estelita/Processed/Normalized/CanalViva_Dezembro2023__CanalViva_Dezembro2023__normalized.csv,2025-11-07 19:30:03 -0300,880f17bc765ac582f9c7522a3aace8eef5933294,"Rebuild: merged matches (Fornecedores+Unified), re-export eligible workbooks, rebuild rollups and summaries; add explicit terms index and per-file summary; normalize fornecedores (summary + per-sheet)"
